,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
0,Lebu,CL,50.83,84,100,11.36,-37.62,-73.65
1,Port Alfred,ZA,63.39,87,85,13.33,-33.59,26.89
2,Natal,BR,78.8,78,75,9.17,-5.79,-35.21
3,Rikitea,PF,75.6,83,100,16.42,-23.12,-134.97
4,Jaca,ES,45.0,89,36,0.96,42.57,-0.55
5,Najrān,SA,60.8,25,0,4.7,17.49,44.13
6,Kununurra,AU,87.8,62,98,3.36,-15.77,128.73
7,Punta Arenas,CL,44.6,78,0,17.22,-53.15,-70.92
8,Busselton,AU,61.0,81,0,3.0,-33.65,115.33
9,Merauke,ID,85.14,59,58,6.76,-8.47,140.33
10,Mataura,NZ,61.0,63,95,3.0,-46.19,168.86
11,Henties Bay,NA,59.0,87,97,1.01,-22.12,14.28
12,Port-Cartier,CA,28.0,79,20,6.93,50.03,-66.87
13,Bredasdorp,ZA,62.6,88,100,4.7,-34.53,20.04
14,Mongomo,GQ,69.17,99,100,3.04,1.63,11.31
15,Hermanus,ZA,60.01,92,100,1.01,-34.42,19.23
16,Kavieng,PG,84.63,66,82,2.48,-2.57,150.8
17,Kahului,US,84.2,66,40,8.05,20.89,-156.47
18,Longyearbyen,SJ,30.2,86,75,3.36,78.22,15.64
19,College,US,28.99,92,90,4.23,64.86,-147.8
20,Cape Town,ZA,61.0,87,75,10.29,-33.93,18.42
21,Pahlgām,IN,39.56,56,0,3.58,34.03,75.33
22,Bani Walid,LY,61.56,68,0,16.24,31.76,13.99
23,High Level,CA,28.4,100,90,5.82,58.52,-117.14
24,Zhigansk,RU,-6.84,91,61,2.55,66.77,123.37
25,Cherskiy,RU,14.59,93,100,8.57,68.75,161.3
26,Victor Harbor,AU,62.01,76,0,1.99,-35.57,138.62
27,Bila Krynytsya,UA,46.4,100,0,6.71,50.64,29.47
28,Preobrazheniye,RU,53.1,63,97,3.13,42.9,133.91
29,Ribeira Grande,PT,62.82,60,100,3.58,38.52,-28.7
30,Castro,BR,59.59,67,0,4.5,-24.79,-50.01
31,Mossamedes,AO,71.11,79,0,3.27,-15.2,12.15
32,Vaini,TO,77.0,73,20,12.75,-21.2,-175.2
33,Nikolskoye,RU,52.0,87,75,8.95,59.7,30.79
34,Benghazi,LY,74.57,58,76,17.31,32.12,20.07
35,Tual,ID,84.27,69,100,10.63,-5.67,132.75
36,Kaitangata,NZ,55.67,56,0,7.65,-46.28,169.85
37,Milos,GR,62.6,77,96,8.05,36.75,24.43
38,Namatanai,PG,86.67,64,16,1.61,-3.67,152.43
39,Bilibino,RU,5.25,91,100,1.77,68.05,166.44
40,Byron Bay,AU,73.4,73,75,11.41,-28.65,153.62
41,Qaanaaq,GL,12.09,81,99,12.8,77.48,-69.36
42,Popondetta,PG,92.91,46,0,5.14,-8.75,148.25
43,Avilés,ES,59.0,87,75,11.41,43.55,-5.92
44,Mananjary,MG,68.56,93,15,4.99,-21.22,48.33
45,Oranjestad,AW,84.2,74,20,10.29,12.52,-70.03
46,Bluff,NZ,59.0,68,26,7.0,-46.6,168.33
47,Erciş,TR,37.4,64,0,3.36,39.03,43.36
48,Khandyga,RU,15.62,95,100,2.42,62.67,135.6
49,Ushuaia,AR,44.6,39,75,11.41,-54.8,-68.3
50,Upernavik,GL,16.23,78,0,5.37,72.79,-56.15
51,East London,ZA,67.82,74,18,17.92,-33.02,27.91
52,Etchoropo,MX,70.0,28,0,8.01,26.77,-109.67
53,Erzin,TR,75.99,71,57,3.6,36.96,36.2
54,Nioro,GM,75.15,62,0,3.47,13.35,-15.75
55,Barrow,US,30.2,80,75,21.92,71.29,-156.79
56,Severo-Kuril'sk,RU,45.37,77,0,5.26,50.68,156.12
57,Jamestown,US,41.0,100,90,2.19,42.1,-79.24
58,Havøysund,NO,30.2,92,0,13.87,71.0,24.66
59,Kerema,PG,82.31,74,98,7.81,-7.96,145.78
60,Bang Krathum,TH,81.0,55,100,4.47,16.58,100.3
61,Atuona,PF,78.66,74,1,19.01,-9.8,-139.03
62,Sitka,US,46.4,87,75,8.05,57.05,-135.33
63,Scarborough,GB,44.01,84,1,8.01,54.28,-0.4
64,Uyemskiy,RU,44.6,93,90,6.71,64.47,40.85
65,St. George's,GD,78.8,94,20,5.82,12.06,-61.75
66,Provideniya,RU,32.0,95,90,6.71,64.38,-173.3
67,Edson,CA,44.6,65,40,14.99,53.58,-116.44
68,Kautokeino,NO,26.47,96,100,4.52,69.01,23.04
69,Hobart,AU,59.0,71,75,10.29,-42.88,147.33
70,Thompson,CA,24.8,68,75,9.17,55.74,-97.86
71,Yellowknife,CA,17.6,67,75,4.7,62.46,-114.35
72,Saint-Joseph,RE,69.8,64,0,3.36,-21.37,55.62
73,Puerto Ayora,EC,68.0,92,100,3.0,-0.74,-90.35
74,Puerto Palomas,MX,30.2,100,90,5.82,31.77,-107.62
75,Srednekolymsk,RU,14.95,90,83,7.74,67.45,153.68
76,Esperance,AU,68.0,77,92,16.11,-33.87,121.9
77,Beihai,CN,76.53,72,97,15.86,21.48,109.1
78,Volchikha,RU,31.89,92,0,12.8,52.03,80.38
79,Albany,US,48.0,76,100,1.7,42.6,-73.97
80,Khatanga,RU,-6.11,90,48,10.27,71.97,102.5
81,George Town,MY,78.8,88,20,3.36,5.41,100.34
82,Bethel,US,51.8,57,75,3.65,41.37,-73.41
83,Atar,MR,82.74,22,6,10.04,20.52,-13.05
84,Vila,PT,54.0,95,99,1.99,42.03,-8.16
85,Cidreira,BR,63.07,87,100,11.72,-30.18,-50.21
86,Pa Daet,TH,73.0,100,20,3.27,19.5,99.99
87,Sabang,ID,81.99,74,96,20.89,5.89,95.32
88,Roald,NO,46.4,75,94,5.82,62.58,6.13
89,Arraial do Cabo,BR,73.4,94,0,13.87,-22.97,-42.03
90,Pervomayskoye,RU,55.35,70,0,17.81,43.92,46.71
91,Saint Paul Harbor,US,44.6,56,1,21.92,57.79,-152.41
92,Hilo,US,80.6,74,90,9.17,19.73,-155.09
93,Hithadhoo,MV,83.93,66,85,11.01,-0.6,73.08
94,Port Elizabeth,ZA,62.6,82,0,19.46,-33.92,25.57
95,Mahébourg,MU,70.0,80,4,5.01,-20.41,57.7
96,Teya,RU,25.72,96,100,10.18,60.38,92.63
97,Matara,LK,77.07,86,71,4.76,5.95,80.54
98,Lata,PT,61.0,94,100,1.01,40.16,-8.33
99,Dikson,RU,5.61,95,100,16.98,73.51,80.55
100,Praia,CV,78.8,83,100,14.99,14.92,-23.51
101,Alyangula,AU,91.4,46,40,5.82,-13.85,136.42
102,Saskylakh,RU,5.65,93,100,11.86,71.92,114.08
103,Lompoc,US,70.0,45,1,11.41,34.64,-120.46
104,Husavik,IS,37.4,64,90,8.05,66.04,-17.34
105,Maceió,BR,77.0,83,75,5.82,-9.67,-35.74
106,Butaritari,KI,81.0,65,44,3.02,3.07,172.79
107,Saldanha,ZA,59.0,87,100,2.24,-33.01,17.94
108,Port Blair,IN,80.69,77,99,3.4,11.67,92.75
109,Mar del Plata,AR,59.0,87,0,6.93,-38.0,-57.56
110,Touros,BR,78.8,83,75,9.17,-5.2,-35.46
111,Saint-Augustin,CA,30.85,90,55,4.92,51.23,-58.65
112,Carnarvon,AU,71.6,68,0,24.16,-24.87,113.63
113,Lárdos,GR,68.0,77,20,2.24,36.09,28.02
114,Giohar,SO,76.86,85,100,5.86,2.78,45.5
115,Belmonte,BR,78.8,83,75,8.05,-15.86,-38.88
116,Mehamn,NO,35.74,83,100,7.31,71.04,27.85
117,Khovd,MN,29.91,76,2,1.68,48.01,91.64
118,Bengkulu,ID,81.0,71,93,2.26,-3.8,102.27
119,Iquique,CL,62.6,77,90,11.41,-20.22,-70.14
120,Bulungu,CD,70.92,98,100,2.51,-4.55,18.6
121,Gizo Government Station,SB,84.79,71,100,6.31,-8.1,156.84
122,Metsavan,AM,37.4,64,100,3.36,41.2,44.23
123,Safi,MA,61.74,72,0,15.79,32.3,-9.24
124,Taoudenni,ML,81.52,17,0,6.58,22.68,-3.98
125,Montepuez,MZ,67.53,95,19,2.13,-13.13,39.0
126,Saint-Philippe,RE,69.8,64,0,3.36,-21.36,55.77
127,Puerto Nariño,CO,78.8,100,75,2.24,-3.77,-70.38
128,Oddur,SO,71.53,86,79,9.89,4.12,43.89
129,São Filipe,CV,80.76,74,60,4.25,14.9,-24.5
130,Lavrentiya,RU,30.13,90,71,8.81,65.58,-171.0
131,New Norfolk,AU,59.0,63,98,1.99,-42.78,147.06
132,Yulara,AU,80.6,13,0,3.36,-25.24,130.99
133,Thunder Bay,CA,33.8,55,75,13.87,48.4,-89.32
134,Black River,JM,84.2,79,75,6.93,18.03,-77.85
135,Curitibanos,BR,54.0,91,64,1.72,-27.28,-50.58
136,Sobolevo,RU,43.14,85,0,10.85,54.43,31.9
137,Dunedin,NZ,54.0,68,37,20.0,-45.87,170.5
138,Cabo San Lucas,MX,75.2,57,40,17.22,22.89,-109.91
139,Half Moon Bay,US,77.0,48,1,11.41,37.46,-122.43
140,Adrar,MR,81.81,17,0,12.15,20.5,-10.07
141,Teruel,ES,51.01,75,0,3.36,40.67,-0.67
142,Antofagasta,CL,59.0,82,75,16.11,-23.65,-70.4
143,Torbay,CA,39.0,100,90,11.41,47.67,-52.73
144,Bathsheba,BB,82.4,83,40,16.11,13.22,-59.52
145,Shirhatti,IN,69.01,68,0,6.17,15.23,75.58
146,Cascais,PT,62.01,95,50,9.46,38.7,-9.42
147,Pevek,RU,20.07,97,100,12.33,69.7,170.31
148,Virginia Beach,US,64.99,94,0,6.29,36.85,-75.98
149,Jiwani,PK,73.58,62,0,6.93,25.05,61.74
150,Ahipara,NZ,69.55,63,22,3.44,-35.17,173.17
151,Menzel Salem,TN,42.8,81,0,2.24,35.86,8.48
152,Sampit,ID,82.85,75,86,2.35,-2.53,112.95
153,Tura,IN,69.91,87,0,3.74,25.52,90.22
154,Nísia Floresta,BR,78.8,78,75,9.17,-6.09,-35.21
155,Bara,NG,74.26,33,0,4.38,10.37,10.73
156,Vysokogornyy,RU,37.18,78,60,2.86,50.12,139.15
157,Babushkin,RU,35.53,79,0,5.14,51.71,105.86
158,Maningrida,AU,90.84,45,67,5.73,-12.07,134.27
159,Idaho Falls,US,39.2,41,75,4.7,43.47,-112.03
160,Avarua,CK,73.4,83,100,8.05,-21.21,-159.78
161,Shingū,JP,66.2,52,75,1.12,33.73,135.98
162,Labytnangi,RU,6.1,94,95,3.91,66.66,66.42
163,Robertsport,LR,80.33,83,95,8.95,6.75,-11.37
164,Klaksvík,FO,46.71,86,100,23.26,62.23,-6.59
165,Kieta,PG,87.28,62,38,3.98,-6.22,155.63
166,Beneditinos,BR,82.4,65,20,8.05,-5.45,-42.37
167,Avera,US,75.2,100,1,5.08,33.19,-82.53
168,Tsimmerbude,RU,48.2,87,0,6.71,54.67,20.13
169,Provost,CA,42.42,85,100,12.77,52.35,-110.27
170,Kulhudhuffushi,MV,82.38,74,1,6.22,6.62,73.07
171,Norsup,VU,82.4,74,75,8.05,-16.07,167.38
172,Nuuk,GL,24.01,79,8,5.99,64.18,-51.72
173,Hīt,IQ,69.03,23,0,7.56,33.64,42.83
174,Morgan City,US,80.6,83,88,6.93,29.7,-91.21
175,Karratha,AU,80.2,57,18,9.95,-20.74,116.85
176,Tortolì,IT,52.0,60,0,1.99,39.93,9.66
177,Skibbereen,IE,42.8,87,20,14.99,51.55,-9.27
178,Serebryanyy Bor,RU,10.65,93,99,5.88,56.8,124.8
179,Coyhaique,CL,41.0,86,90,4.7,-45.58,-72.07
180,Okhotsk,RU,30.78,81,0,7.02,59.38,143.3
181,Katsuura,JP,66.99,68,75,4.7,35.13,140.3
182,Kenai,US,41.0,65,1,5.82,60.55,-151.26
183,Cockburn Town,TC,82.69,80,45,21.99,21.46,-71.14
184,Abu Kamal,SY,64.02,28,0,5.35,34.45,40.92
185,Berlevåg,NO,38.98,80,100,9.6,70.86,29.09
186,Plettenberg Bay,ZA,61.18,65,100,5.61,-34.05,23.37
187,Bairnsdale,AU,64.0,77,42,3.0,-37.83,147.62
188,Honningsvåg,NO,41.43,71,100,9.1,70.98,25.97
189,Marsá Maţrūḩ,EG,70.12,71,100,3.18,31.35,27.25
190,Walvis Bay,NA,59.0,82,100,4.7,-22.96,14.51
191,Necochea,AR,59.0,76,90,8.99,-38.55,-58.74
192,Jalu,LY,70.16,43,0,10.22,29.03,21.55
193,Port Lincoln,AU,63.59,59,0,7.81,-34.73,135.87
194,Chifeng,CN,42.62,49,0,7.29,42.27,118.96
195,Vangaindrano,MG,70.43,88,17,1.14,-23.35,47.6
196,San Juan,AR,71.96,23,99,13.82,-31.54,-68.54
197,Kumul,CN,44.51,48,0,8.95,42.8,93.45
198,Kapaa,US,82.99,69,75,5.82,22.08,-159.32
199,Strathmore,CA,51.8,43,75,13.87,51.05,-113.39
200,Samarai,PG,82.98,78,2,9.78,-10.62,150.67
201,Maputo,MZ,75.2,88,40,5.82,-25.97,32.59
202,Takapau,NZ,57.99,78,100,3.0,-40.03,176.35
203,Rio Grande,BR,63.0,99,100,8.01,-32.03,-52.1
204,Severnyy,RU,41.0,75,0,8.95,50.68,36.55
205,Puławy,PL,51.01,10,2,4.97,51.42,21.97
206,Pirovskoye,RU,34.07,91,100,5.66,57.63,92.27
207,Shīeli,KZ,30.83,86,98,7.02,44.17,66.75
208,Ostrovnoy,RU,43.68,92,100,22.15,68.05,39.51
209,Gavojdia,RO,46.4,100,0,8.05,45.62,22.02
210,Tasiilaq,GL,25.45,91,100,7.43,65.61,-37.64
211,Tomatlán,MX,76.86,92,77,3.27,19.93,-105.25
212,Kananga,CD,69.57,94,100,1.5,-5.9,22.42
213,Pitimbu,BR,78.8,78,20,6.93,-7.47,-34.81
214,Acaraú,BR,78.12,82,100,10.89,-2.89,-40.12
215,Kavaratti,IN,81.59,75,88,6.64,10.57,72.64
216,Fairbanks,US,28.99,92,90,4.16,64.84,-147.72
217,Tuktoyaktuk,CA,12.2,92,90,12.75,69.45,-133.04
218,Las Vegas,US,69.8,10,1,8.05,36.17,-115.14
219,San Patricio,US,54.0,81,90,14.99,28.02,-97.52
220,Northam,GB,52.0,81,52,14.0,51.03,-4.22
221,Clyde River,CA,12.2,66,20,6.93,70.47,-68.59
222,Erenhot,CN,37.56,56,0,4.92,43.65,111.98
223,Tonekābon,IR,62.6,93,75,5.08,36.82,50.87
224,Marzuq,YE,58.71,31,1,2.82,14.4,46.47
225,Bridgton,US,41.0,61,100,2.19,44.05,-70.71
226,Fonte Boa,BR,75.85,89,100,2.17,-2.5,-66.27
227,Solnechnyy,RU,36.43,82,100,2.82,50.72,136.63
228,Kimbe,PG,90.19,56,10,4.79,-5.55,150.14
229,Grindavik,IS,39.2,55,0,24.16,63.84,-22.43
230,Awjilah,LY,70.43,40,0,11.43,29.11,21.29
231,Beringovskiy,RU,27.75,92,65,12.5,63.05,179.32
232,Kamaishi,JP,46.4,87,40,3.36,39.27,141.88
233,Serenje,ZM,64.08,55,1,5.46,-13.23,30.24
234,Kroya,ID,72.0,83,96,2.82,-7.63,109.25
235,Heze,CN,60.71,47,100,7.25,35.24,115.44
236,Hemsedal,NO,35.01,90,94,2.53,60.86,8.55
237,Goderich,CA,43.0,79,100,11.36,43.75,-81.72
238,Caramay,PH,83.73,74,99,5.66,10.18,119.24
239,Yumen,CN,38.59,67,91,5.28,40.28,97.2
240,Bandarbeyla,SO,74.7,81,21,3.4,9.49,50.81
241,Petropavlovsk-Kamchatskiy,RU,42.8,75,40,2.24,53.05,158.65
242,Umba,RU,43.41,88,100,9.86,66.69,34.34
243,Flinders,AU,66.99,74,98,1.99,-34.58,150.86
244,Ballina,AU,73.4,73,75,11.41,-28.87,153.57
245,Borzya,RU,25.12,84,6,5.06,50.38,116.52
246,Pimentel,PE,63.05,87,66,12.82,-6.84,-79.93
247,Lichinga,MZ,64.4,82,75,10.29,-13.31,35.24
248,Ponta do Sol,PT,66.2,68,75,8.05,32.67,-17.1
249,Khāsh,IR,48.07,45,0,4.43,28.22,61.22
250,Evanston,US,37.99,64,75,3.36,42.04,-87.69
251,Nanortalik,GL,30.45,90,100,3.33,60.14,-45.24
252,Icuseşti,RO,54.0,100,90,2.24,46.8,26.93
253,Schruns,AT,42.01,100,100,7.65,47.07,9.95
254,Tuatapere,NZ,59.0,68,100,7.0,-46.13,167.68
255,Ferme-Neuve,CA,24.91,95,17,3.58,46.7,-75.45
256,Nokaneng,BW,74.53,28,0,9.28,-19.67,22.27
257,Fort Nelson,CA,30.2,80,75,5.82,58.81,-122.7
258,Broome,US,46.0,75,90,1.07,42.25,-75.83
259,Wajid,SO,73.83,82,88,15.19,3.81,43.25
260,Hinton,CA,37.24,82,100,3.94,53.4,-117.59
261,Chui,UY,62.31,95,100,13.73,-33.7,-53.46
262,Xam Nua,LA,66.27,86,100,2.3,20.42,104.04
263,Dunmore Town,BS,82.35,77,0,13.56,25.5,-76.65
264,Lima,PE,63.0,82,40,13.87,-12.04,-77.03
265,Energetik,RU,30.52,90,0,3.53,51.74,58.79
266,Andenes,NO,35.6,69,100,9.17,69.31,16.12
267,Koygorodok,RU,32.43,96,87,8.25,60.45,51.0
268,Mayo,US,60.8,77,90,6.93,38.89,-76.51
269,La Ronge,CA,26.6,92,90,9.17,55.1,-105.28
270,Susaki,JP,66.2,68,75,9.17,33.37,133.28
271,Aklavik,CA,12.2,85,75,2.24,68.22,-135.01
272,Boyuibe,BO,73.96,47,0,6.22,-20.42,-63.28
273,Kalemie,CD,71.64,76,93,1.05,-5.95,29.19
274,Tabou,CI,77.81,87,100,5.5,4.42,-7.35
275,Airai,TL,72.7,72,29,3.0,-8.93,125.41
276,Durban,ZA,71.6,94,0,4.7,-29.86,31.03
277,Madison,US,71.6,83,90,3.47,34.73,-86.57
278,Nanuque,BR,75.63,90,77,7.81,-17.84,-40.35
279,Kruisfontein,ZA,57.99,95,0,6.64,-34.0,24.73
280,Severomuysk,RU,10.26,90,100,1.48,56.15,113.43
281,Namtsy,RU,3.2,84,20,2.24,62.72,129.67
282,Baykit,RU,14.27,91,100,13.87,61.67,96.37
283,Tiksi,RU,-3.21,90,2,12.73,71.69,128.87
284,Concepción del Oro,MX,67.89,27,0,9.82,24.63,-101.42
285,Pangnirtung,CA,8.56,76,0,4.21,66.15,-65.71
286,Rapid Valley,US,42.01,76,20,3.36,44.06,-103.15
287,Vallenar,CL,55.63,71,0,0.85,-28.57,-70.76
288,Hamilton,US,51.8,87,90,3.4,39.18,-84.53
289,Qingyuan,CN,80.01,60,0,6.71,23.7,113.03
290,Laguna,US,73.4,18,1,4.7,38.42,-121.42
291,Hobyo,SO,78.93,79,2,5.26,5.35,48.53
